preset,net_gain_db,fusion_rule,report_budget,mc,seed,P_D,P_D_weak,remote_reports,selected_observations,all_targets_satisfied_prob,actual_worst_target_P_D,selector_score_evaluations
small-uav-nominal-s2,12.5,local_only,0,30,2026,0.69,0.26666666666666666,0.0,10.0,0.0,0.5333333333333333,770.0
small-uav-nominal-s2,12.5,pd_lookahead,2,30,2026,0.6633333333333333,0.3,1.9666666666666666,11.966666666666667,0.0,0.5666666666666667,3310.9
small-uav-nominal-s2,12.5,nearest,2,30,2026,0.71,0.26666666666666666,2.0,12.0,0.0,0.6,3838.9333333333334
small-uav-nominal-s2,15.0,local_only,0,30,2026,0.79,0.4666666666666667,0.0,10.0,0.0,0.6666666666666666,770.0
small-uav-nominal-s2,15.0,pd_lookahead,2,30,2026,0.8166666666666667,0.5,1.9,11.9,0.0,0.7,3610.9666666666667
small-uav-nominal-s2,15.0,nearest,2,30,2026,0.8266666666666667,0.43333333333333335,1.9333333333333333,11.933333333333334,0.03333333333333333,0.7333333333333333,3891.366666666667
small-uav-nominal-s2,17.5,local_only,0,30,2026,0.8866666666666667,0.5666666666666667,0.0,10.0,0.1,0.8,770.0
small-uav-nominal-s2,17.5,pd_lookahead,2,30,2026,0.8966666666666666,0.6,1.6666666666666667,11.666666666666666,0.1,0.8,3570.3333333333335
small-uav-nominal-s2,17.5,nearest,2,30,2026,0.8766666666666667,0.6333333333333333,1.5666666666666667,11.566666666666666,0.06666666666666667,0.7333333333333333,3910.233333333333
